comment,random,label,individual,75%,50%,25%,10%,5%
It was awesome,Artist,Music,Music,Music,useless,useless,useless,useless
Supper songs brother,Music,Music,Music,Artist,Artist,useless,Music,Music
love you talha,useless,Artist,Artist,Artist,Artist,Artist,useless,Artist
"this is not a song . this is some thing unique with different vibe like poetry or ghazal. the voice, music and what a lyrics. unimaginable . listened 100+ time every time this song has a different thing",Artist,Music,Music,Music,Music,Music,Music,Music
speechless,Music,Music,Music,Music,useless,useless,useless,useless
great job!!!,Artist,Music,Music,Music,Music,useless,useless,useless
Madina yad agaya,Music,useless,useless,useless,useless,useless,useless,useless
"Alisha g has sung so much good songs 
Underrated ️️️️",useless,Artist,Artist,Artist,Artist,Music,Music,Music
what my waat rat fat gaiaaaa🇧🇩,Music,useless,useless,useless,useless,useless,useless,useless
Raaaaa,Music,useless,useless,useless,useless,useless,useless,useless
"I like this song , be happy yaar",useless,Music,Music,Music,Music,useless,Music,Music
Big fan sir,useless,Artist,Artist,Artist,Artist,useless,useless,useless
This album is only treat for old bohemia fans ️ King of desi hip hop,useless,Music,useless,useless,useless,Artist,Artist,Artist
bhai,Music,useless,useless,useless,useless,useless,useless,useless
Wow kaifi just more than amazing,useless,Artist,Artist,Artist,Artist,Artist,useless,useless
3 like ha Bhi,useless,useless,useless,useless,useless,useless,useless,useless
My Bestfriend favourite song,useless,Music,useless,useless,Music,useless,Music,Music
Dil se dil tak,Artist,useless,useless,useless,Artist,Artist,Artist,Artist
listening everyday..this is magical,useless,Music,Music,Music,Artist,Artist,Music,useless
Love from India mera bhai love you,Artist,useless,Artist,Artist,Artist,useless,useless,useless
Raja hrzai,Music,useless,useless,useless,useless,useless,useless,Music
"Atif Aslam, DJ chetas & Asees kaur",Music,useless,Artist,Artist,Artist,Artist,Artist,Artist
Just awesome,Music,Music,Music,Music,useless,useless,useless,useless
My favourite song you,Music,Music,Artist,Music,Music,useless,Music,Music
It takes me back to my childhood when it was sung by a famous musician. What a great kalam ever,useless,Music,useless,Music,Music,Music,useless,Music
"Ali sethi bhai wah, u r an amazing artist. Me apno k marne pe bi nai roya. Ye song sun k ankhain num ho gain hain.",Music,Artist,Artist,Artist,Artist,useless,Music,Artist
Yrr just give some credits to umair yrr what a production,useless,Artist,Artist,Artist,Music,Artist,Artist,Artist
I like the video,useless,Music,useless,useless,useless,useless,useless,useless
Excellent Asim!!!,Artist,Artist,Artist,Artist,Artist,Artist,useless,useless
Old days are gone,useless,useless,useless,useless,useless,useless,useless,useless
Zella Neck,Music,useless,useless,useless,Artist,useless,useless,Artist
@lm,useless,useless,useless,useless,useless,useless,useless,useless
This song 10\1000000000000,useless,useless,useless,useless,Music,useless,Music,Music
Best Song,useless,Music,Music,Music,Music,Music,Music,Music
Can't believe k esi masterpiece  album pe views nahi aa rahey. Ab tak to 1million har song pe ho jana chaiye tha jis level ki album hai,useless,Music,useless,Music,useless,Music,Music,Artist
Always bring tears to my eyes beautiful track,useless,Music,Music,Music,Music,Music,Music,Music
Best sing,Music,Music,Music,Artist,Artist,Artist,Music,Music
Jan love hugya,Artist,Music,useless,useless,useless,useless,useless,useless
GODDDD!!!! What a sooothinggg beautifulll banger,useless,Music,Music,Music,Music,Music,Music,useless
"Dope music, beautiful voice",Music,Music,useless,Music,useless,Music,Music,Music
Love songs,useless,Music,Music,Music,Music,useless,Music,Music
I am speechless many best wishes to each one of you sukoon team keep rocking keep singing keep shining,useless,Artist,Artist,Artist,Artist,Artist,Music,Music
BEMATLAB WILL TREND INSHALLAH,Artist,Music,useless,useless,useless,Music,useless,useless
Gajab  hai,Artist,Music,Music,useless,Artist,Artist,useless,Artist
So personal for me every word of this song,useless,Music,Music,Music,Music,Music,Music,Music
India power,Music,useless,useless,useless,useless,useless,useless,useless
I LUV IT,useless,Music,Music,Music,useless,useless,useless,useless
Yar kaya song hai,useless,useless,Music,Music,Artist,Artist,Artist,Artist
Sidhe whatsapp msg received karne k bad aaye hai yaha someone sent me a quote clip with this song &first time i have listen this masterpiece amazing,useless,Music,Music,Music,Music,Music,Music,useless
bohemia Dz,Music,useless,useless,useless,useless,Artist,Artist,Artist
I love you paji,useless,Artist,Artist,Artist,Artist,useless,useless,Artist
Hard songs,Artist,Music,Music,Music,Music,Music,Music,Music
Your representation of Pakistan on the global stage is truly exceptional. Your talent and dedication have set a remarkable example for others to follow. Thank you for being an outstanding ambassador for our country.,useless,Artist,Artist,Artist,Artist,Artist,Artist,Artist
MashaAllah so nice ️,Music,Music,Music,Music,Music,Music,useless,Music
M the father of all listeners who unlike this song,Music,useless,useless,useless,Music,useless,Music,Music
Memories of 2014,Artist,useless,useless,useless,useless,useless,useless,useless
Omggg wow….,useless,Music,useless,Music,useless,useless,useless,useless
If you are here in 2024 then you have good taste of music,Music,Music,useless,useless,useless,useless,Music,useless
Nothing hits harder than 90's and 00's song's nostalgia.,Music,Music,useless,Music,Music,Music,Music,Music
Downers at dusk listener think this is new song,Artist,useless,useless,useless,Artist,useless,Music,Music
aby kya purany gny upload kraha h,Artist,useless,useless,useless,useless,useless,useless,useless
U say ?,useless,useless,useless,useless,useless,useless,useless,useless
This song,useless,useless,useless,Music,Music,useless,Music,Music
"SADLY the only thing nice about this is Ali Zafar's voice. 

Everything else was just annoying  noise.",Music,Artist,Artist,Artist,Artist,Artist,Artist,Music
Amazing my favourite track,useless,Music,Music,Music,Music,Music,Music,Music
Is that earbud in his ear?,Music,useless,useless,useless,useless,useless,useless,useless
waah bhaeee kyaaa gaana banaaya houu,Artist,Music,Music,Music,useless,Music,useless,useless
Bruh i just lost my mom and dadbut also  am living the fuc*** life without mom and dad,useless,useless,useless,useless,useless,Music,useless,useless
By listeming this song i feel my childhood memories,useless,Music,Music,Music,useless,Music,Music,Music
"Listened to this song on Radio, Walkman, Music stereo , CD player, PC, MP3 player, IPod, laptop, Home theater etc etc",Music,useless,useless,useless,Music,useless,Music,Music
love u sir,useless,Artist,Artist,Artist,Artist,useless,useless,Artist
Bhaiiii kia banda hai yawrr yehhh,Music,useless,Artist,Artist,useless,useless,Artist,Artist
This is Beauty <3,useless,Music,Music,Music,Music,useless,useless,useless
DHH mai ys se bada koi nhi hai bhai,useless,useless,Artist,Artist,Artist,Artist,Artist,Artist
"Wah Great Vice, I Love Coke Studio",Artist,Artist,Artist,Artist,Artist,Artist,Artist,useless
JJ Sir LYSM,Music,Artist,Artist,Artist,useless,useless,useless,Artist
Wah,Artist,useless,useless,useless,Artist,useless,useless,useless
Love from india,useless,useless,useless,useless,useless,useless,useless,useless
Best song on whole planet so far,Artist,Music,Music,Music,Music,Music,Music,Music
My best qehwally,Music,Music,useless,useless,useless,useless,useless,useless
Only 277 views in 2 days,Music,useless,useless,useless,useless,useless,useless,useless
An awesome song,useless,Music,Music,Music,Music,Music,Music,Music
গানটি অনেক সুন্দর হয়েছে,Music,useless,Music,Music,useless,useless,useless,useless
Paaji kya baat hai,Artist,useless,Artist,Artist,Artist,Artist,Artist,Artist
Just written by pain,Artist,Music,Artist,useless,useless,Music,useless,useless
Bro singer tu op a bas lyrics thoray behtar hotay tu song acha ho sakta tha,useless,Artist,Artist,Artist,Artist,Music,Music,useless
kia baat ha,Artist,useless,useless,useless,useless,useless,useless,useless
